Best Model: WeightedEnsemble_L3
Training Time: 0.03119635581970215 seconds
Validation Score: -801712.6499169396

Model Performance:
                      model     score_val             eval_metric  pred_time_val    fit_time  pred_time_val_marginal  fit_time_marginal  stack_level  can_infer  fit_order
NeuralNetFastAI_r156_BAG_L1 -9.944075e+05 root_mean_squared_error       0.155562   22.344757                0.155562          22.344757            1       True         41
  NeuralNetTorch_r22_BAG_L1 -9.957102e+05 root_mean_squared_error       0.116073   18.994112                0.116073          18.994112            1       True         18
 NeuralNetFastAI_r11_BAG_L1 -9.975334e+05 root_mean_squared_error       0.124305   13.189148                0.124305          13.189148            1       True         32
     NeuralNetFastAI_BAG_L1 -1.000111e+06 root_mean_squared_error       0.133628    9.183908                0.133628           9.183908            1       True          8
  NeuralNetFastAI_r4_BAG_L1 -1.006551e+06 root_mean_squared_error       0.112504    9.616892                0.112504           9.616892            1       True         96
  NeuralNetTorch_r36_BAG_L1 -1.009040e+06 root_mean_squared_error       0.100979   14.179666                0.100979          14.179666            1       True         98
 NeuralNetFastAI_r65_BAG_L1 -1.014467e+06 root_mean_squared_error       0.194700   21.079826                0.194700          21.079826            1       True         65
 NeuralNetFastAI_r37_BAG_L1 -1.015190e+06 root_mean_squared_error       0.113903    9.956861                0.113903           9.956861            1       True         51
       ExtraTrees_r4_BAG_L1 -1.022910e+06 root_mean_squared_error       0.098691    0.550309                0.098691           0.550309            1       True         64
NeuralNetFastAI_r160_BAG_L1 -1.023273e+06 root_mean_squared_error       0.165944   10.545797                0.165944          10.545797            1       True         77
NeuralNetFastAI_r172_BAG_L1 -1.035768e+06 root_mean_squared_error       0.136277    8.891234                0.136277           8.891234            1       True         86
 NeuralNetFastAI_r88_BAG_L1 -1.038853e+06 root_mean_squared_error       0.182343   23.105001                0.182343          23.105001            1       True         66
    RandomForest_r34_BAG_L1 -1.040808e+06 root_mean_squared_error       0.096803    0.516395                0.096803           0.516395            1       True         58
NeuralNetFastAI_r111_BAG_L1 -1.042098e+06 root_mean_squared_error       0.184495   16.473955                0.184495          16.473955            1       True         62
NeuralNetFastAI_r143_BAG_L1 -1.055323e+06 root_mean_squared_error       0.173026   20.531654                0.173026          20.531654            1       True         39
NeuralNetFastAI_r194_BAG_L1 -1.071648e+06 root_mean_squared_error       0.120641    9.301194                0.120641           9.301194            1       True         93
      KNeighborsUnif_BAG_L1 -2.190185e+06 root_mean_squared_error       0.014193    0.005911                0.014193           0.005911            1       True          1
      KNeighborsDist_BAG_L1 -2.325690e+06 root_mean_squared_error       0.013004    0.005013                0.013004           0.005013            1       True          2
