Best Model: WeightedEnsemble_L3
Training Time: 0.033498525619506836 seconds
Validation Score: -1576767.1290875191

Model Performance:
                      model     score_val             eval_metric  pred_time_val    fit_time  pred_time_val_marginal  fit_time_marginal  stack_level  can_infer  fit_order
     ExtraTrees_r126_BAG_L1 -1.746755e+06 root_mean_squared_error       0.100926    1.119239                0.100926           1.119239            1       True         97
        CatBoost_r12_BAG_L1 -1.749119e+06 root_mean_squared_error       0.027276    5.327677                0.027276           5.327677            1       True         94
       LightGBM_r188_BAG_L1 -1.749228e+06 root_mean_squared_error       0.032801    4.736773                0.032801           4.736773            1       True         25
NeuralNetFastAI_r103_BAG_L1 -1.749346e+06 root_mean_squared_error       0.127709    9.606544                0.127709           9.606544            1       True         36
     ExtraTrees_r178_BAG_L1 -1.750709e+06 root_mean_squared_error       0.100054    1.056856                0.100054           1.056856            1       True         73
  NeuralNetTorch_r14_BAG_L1 -1.750781e+06 root_mean_squared_error       0.088012    9.694890                0.088012           9.694890            1       True         37
  NeuralNetTorch_r86_BAG_L1 -1.751431e+06 root_mean_squared_error       0.093349   12.602063                0.093349          12.602063            1       True         30
       CatBoost_r128_BAG_L1 -1.751836e+06 root_mean_squared_error       0.031570   11.212228                0.031570          11.212228            1       True         61
  NeuralNetTorch_r19_BAG_L1 -1.752480e+06 root_mean_squared_error       0.098658    9.823946                0.098658           9.823946            1       True        103
       CatBoost_r167_BAG_L1 -1.753843e+06 root_mean_squared_error       0.028196    5.213181                0.028196           5.213181            1       True         44
      NeuralNetTorch_BAG_L1 -1.754345e+06 root_mean_squared_error       0.105111   13.398910                0.105111          13.398910            1       True         10
    RandomForest_r34_BAG_L1 -1.756538e+06 root_mean_squared_error       0.097655    0.498152                0.097655           0.498152            1       True         58
 NeuralNetFastAI_r65_BAG_L1 -1.756976e+06 root_mean_squared_error       0.173073   19.287927                0.173073          19.287927            1       True         65
       CatBoost_r143_BAG_L1 -1.757741e+06 root_mean_squared_error       0.026237    4.882132                0.026237           4.882132            1       True         72
     ExtraTrees_r172_BAG_L1 -1.757823e+06 root_mean_squared_error       0.099526    0.451890                0.099526           0.451890            1       True         34
            LightGBM_BAG_L1 -1.758533e+06 root_mean_squared_error       0.024542    4.516925                0.024542           4.516925            1       True          4
       CatBoost_r180_BAG_L1 -1.758688e+06 root_mean_squared_error       0.030349    7.767800                0.030349           7.767800            1       True         87
 NeuralNetFastAI_r69_BAG_L1 -1.758920e+06 root_mean_squared_error       0.114071    9.771615                0.114071           9.771615            1       True         82
        CatBoost_r86_BAG_L1 -1.759298e+06 root_mean_squared_error       0.027701    7.006472                0.027701           7.006472            1       True         50
 NeuralNetFastAI_r37_BAG_L1 -1.759352e+06 root_mean_squared_error       0.121454    9.357697                0.121454           9.357697            1       True         51
        CatBoost_r13_BAG_L1 -1.762713e+06 root_mean_squared_error       0.026404    7.275305                0.026404           7.275305            1       True         23
NeuralNetFastAI_r191_BAG_L1 -1.763010e+06 root_mean_squared_error       0.155557   10.543240                0.155557          10.543240            1       True         15
       LightGBM_r143_BAG_L1 -1.764043e+06 root_mean_squared_error       0.040792    4.517248                0.040792           4.517248            1       True         55
         CatBoost_r9_BAG_L1 -1.765960e+06 root_mean_squared_error       0.027705   11.925182                0.027705          11.925182            1       True         16
      ExtraTrees_r49_BAG_L1 -1.767317e+06 root_mean_squared_error       0.132873    0.977692                0.132873           0.977692            1       True         54
       LightGBM_r131_BAG_L1 -1.767955e+06 root_mean_squared_error       0.044009    4.457877                0.044009           4.457877            1       True         14
  NeuralNetTorch_r71_BAG_L1 -1.773195e+06 root_mean_squared_error       0.075953    9.937397                0.075953           9.937397            1       True         71
        LightGBM_r15_BAG_L1 -1.773731e+06 root_mean_squared_error       0.032928    4.305224                0.032928           4.305224            1       True         48
     NeuralNetFastAI_BAG_L1 -1.776064e+06 root_mean_squared_error       0.123015    9.084485                0.123015           9.084485            1       True          8
       LightGBM_r161_BAG_L1 -1.778114e+06 root_mean_squared_error       0.059786    5.030642                0.059786           5.030642            1       True         38
         XGBoost_r31_BAG_L1 -1.779113e+06 root_mean_squared_error       0.107172    7.919793                0.107172           7.919793            1       True         75
   RandomForest_r127_BAG_L1 -1.783064e+06 root_mean_squared_error       0.100692    1.251082                0.100692           1.251082            1       True         56
NeuralNetFastAI_r172_BAG_L1 -1.784004e+06 root_mean_squared_error       0.117632    8.305802                0.117632           8.305802            1       True         86
         XGBoost_r89_BAG_L1 -1.786714e+06 root_mean_squared_error       0.126187    5.629700                0.126187           5.629700            1       True         27
       LightGBM_r121_BAG_L1 -1.787245e+06 root_mean_squared_error       0.048726    4.789742                0.048726           4.789742            1       True         85
NeuralNetFastAI_r134_BAG_L1 -1.790003e+06 root_mean_squared_error       0.150787   29.417890                0.150787          29.417890            1       True         57
NeuralNetFastAI_r145_BAG_L1 -1.793267e+06 root_mean_squared_error       0.157063   10.568875                0.157063          10.568875            1       True         26
